timestamp_iso,epoch,pressure_ratio,gateway_replicas,gateway_desired,hpa_target_line,pod_names
2026-08-16T21:25:01Z,1786915501,0.0318,3,3,11m/500m,3
2026-08-16T21:25:06Z,1786915506,0.0318,3,3,11m/500m,3
2026-08-16T21:25:12Z,1786915512,0.0318,3,3,11m/500m,3
2026-08-16T21:25:17Z,1786915517,0.0318,3,3,11m/500m,3
2026-08-16T21:25:22Z,1786915522,0.0318,3,3,11m/500m,3
2026-08-16T21:25:27Z,1786915527,0.0318,3,3,11m/500m,3
2026-08-16T21:25:33Z,1786915533,0.0318,3,3,11m/500m,3
2026-08-16T21:25:38Z,1786915538,0.0318,3,3,11m/500m,3
2026-08-16T21:25:43Z,1786915543,0.0318,3,3,11m/500m,3
2026-08-16T21:25:48Z,1786915548,0.0318,3,3,11m/500m,3
2026-08-16T21:25:54Z,1786915554,0.0318,3,3,11m/500m,3
2026-08-16T21:25:59Z,1786915559,0.0318,3,3,11m/500m,3
2026-08-16T21:26:04Z,1786915564,0.0318,3,3,11m/500m,3
2026-08-16T21:26:09Z,1786915569,0.0318,3,3,11m/500m,3
2026-08-16T21:26:15Z,1786915575,0.0318,3,3,11m/500m,3
2026-08-16T21:26:20Z,1786915580,0.0318,3,3,11m/500m,3
2026-08-16T21:26:25Z,1786915585,0.0318,3,3,11m/500m,3
2026-08-16T21:26:30Z,1786915590,0.0318,3,3,11m/500m,3
2026-08-16T21:26:36Z,1786915596,0.0318,3,3,11m/500m,3
2026-08-16T21:26:41Z,1786915601,0.03796,3,3,11m/500m,3
2026-08-16T21:26:49Z,1786915609,0.03796,3,3,11m/500m,3
2026-08-16T21:26:54Z,1786915614,0.03796,3,3,13m/500m,3
2026-08-16T21:26:59Z,1786915619,0.16988,3,3,13m/500m,3
2026-08-16T21:27:05Z,1786915625,0.16988,3,3,13m/500m,3
2026-08-16T21:27:10Z,1786915630,0.3758,3,3,57m/500m,3
2026-08-16T21:27:16Z,1786915636,0.3758,3,3,57m/500m,3
2026-08-16T21:27:21Z,1786915641,0.3758,3,3,57m/500m,3
2026-08-16T21:27:28Z,1786915648,0.5504,3,3,125m/500m,3
2026-08-16T21:27:34Z,1786915654,0.5504,3,3,125m/500m,3
2026-08-16T21:27:39Z,1786915659,0.5504,3,3,184m/500m,3
2026-08-16T21:27:44Z,1786915664,0.7410399999999999,3,3,184m/500m,3
2026-08-16T21:27:50Z,1786915670,0.7410399999999999,3,3,184m/500m,3
2026-08-16T21:27:55Z,1786915675,0.7627999999999999,3,3,247m/500m,3
2026-08-16T21:28:00Z,1786915680,0.7627999999999999,3,3,247m/500m,3
2026-08-16T21:28:06Z,1786915686,0.7627999999999999,3,3,247m/500m,3
2026-08-16T21:28:11Z,1786915691,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:16Z,1786915696,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:21Z,1786915701,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:26Z,1786915706,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:32Z,1786915712,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:37Z,1786915717,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:42Z,1786915722,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:48Z,1786915728,0.7627999999999999,3,3,254m/500m,3
2026-08-16T21:28:53Z,1786915733,0.7627999999999999,27m,3,<nil>/500m,3
2026-08-16T21:28:58Z,1786915738,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:03Z,1786915743,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:09Z,1786915749,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:14Z,1786915754,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:20Z,1786915760,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:25Z,1786915765,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:31Z,1786915771,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:36Z,1786915776,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:42Z,1786915782,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:49Z,1786915789,0.7627999999999999,28m,5,762m/500m,5
2026-08-16T21:29:56Z,1786915796,0.7627999999999999,29m,5,762m/500m,5
2026-08-16T21:30:05Z,1786915805,0.7627999999999999,29m,8,762m/500m,8
2026-08-16T21:30:14Z,1786915814,0.7627999999999999,29m,8,762m/500m,8
2026-08-16T21:30:24Z,1786915824,0.7627999999999999,29m,8,762m/500m,8
2026-08-16T21:30:33Z,1786915833,0.7627999999999999,29m,8,762m/500m,8
2026-08-16T21:30:43Z,1786915843,0.50984,29m,8,509m/500m,8
2026-08-16T21:30:59Z,1786915859,0,30m,8,0/500m,8
2026-08-16T21:31:26Z,1786915886,0,30m,8,0/500m,8
2026-08-16T21:31:38Z,1786915898,0,31m,8,0/500m,8
2026-08-16T21:32:27Z,1786915947,ERR,31m,8,0/500m,8
2026-08-16T21:32:36Z,1786915956,ERR,31m,8,0/500m,8
2026-08-16T21:32:42Z,1786915962,ERR,31m,8,0/500m,8
2026-08-16T21:32:50Z,1786915970,ERR,31m,8,0/500m,8
2026-08-16T21:32:57Z,1786915977,ERR,31m,8,0/500m,8
2026-08-16T21:33:03Z,1786915983,ERR,32m,8,0/500m,8
2026-08-16T21:33:12Z,1786915992,ERR,32m,8,0/500m,8
2026-08-16T21:33:19Z,1786915999,ERR,32m,8,0/500m,8
2026-08-16T21:33:26Z,1786916006,ERR,32m,8,0/500m,8
2026-08-16T21:33:32Z,1786916012,ERR,32m,8,0/500m,8
2026-08-16T21:33:38Z,1786916018,ERR,32m,8,0/500m,8
2026-08-16T21:33:45Z,1786916025,ERR,32m,8,0/500m,8
2026-08-16T21:33:52Z,1786916032,ERR,32m,8,0/500m,8
2026-08-16T21:33:59Z,1786916039,ERR,33m,8,0/500m,8
2026-08-16T21:34:06Z,1786916046,ERR,33m,8,0/500m,8
2026-08-16T21:34:12Z,1786916052,ERR,33m,8,0/500m,8
2026-08-16T21:34:17Z,1786916057,ERR,33m,8,0/500m,8
2026-08-16T21:34:23Z,1786916063,ERR,33m,8,0/500m,8
2026-08-16T21:34:28Z,1786916068,ERR,33m,8,0/500m,8
2026-08-16T21:34:33Z,1786916073,ERR,33m,8,0/500m,8
2026-08-16T21:34:39Z,1786916079,ERR,33m,8,0/500m,8
2026-08-16T21:34:47Z,1786916087,ERR,33m,8,0/500m,8
2026-08-16T21:34:54Z,1786916094,ERR,33m,8,0/500m,8
2026-08-16T21:35:01Z,1786916101,ERR,34m,8,0/500m,8
2026-08-16T21:35:09Z,1786916109,ERR,34m,8,0/500m,8
2026-08-16T21:35:17Z,1786916117,ERR,34m,8,0/500m,8
2026-08-16T21:35:23Z,1786916123,ERR,34m,8,0/500m,8
2026-08-16T21:35:29Z,1786916129,ERR,34m,8,<unknown>/500m,8
2026-08-16T21:35:34Z,1786916134,ERR,34m,8,<unknown>/500m,8
2026-08-16T21:35:39Z,1786916139,ERR,34m,8,<unknown>/500m,8
2026-08-16T21:35:45Z,1786916145,ERR,34m,8,0/500m,8
